Ownership Name,DBA Name,Street Address,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail City,Mail State,NAICS Code,NAICS Code Description,LIC Code,LIC Code Description
Performance Service Station,Performance Service Station,388 Potrero Ave,01/01/2013,NA,01/01/2013,NA,San Francisco,CA,4400-4599,Retail Trade,D08 D13 D19 D24 H07 H31 Wm08,Multiple
301 Rolph Street Corporation,Ricci's Mrket,2790 24th St,01/01/2013,NA,12/02/2019,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Vitamin Shoppe Industries Inc,The Vitamin Shoppe,2300 16th St,01/01/2015,02/23/2021,01/01/2015,02/23/2021,NA,NA,4400-4599,Retail Trade,H03 Pos01,Multiple
E B Liitt Corp,The Mission Grocery Outlet,1245 South Van Ness Ave,10/20/2014,NA,01/18/2017,NA,San Francisco,CA,4400-4599,Retail Trade,H06 H73 Pos01,Multiple
Rahimi Mohammed,Discount City,2786 Mission St,05/01/2002,NA,11/21/2008,NA,San Francisco,CA,4400-4599,Retail Trade,H03,"Retail Mkts W/o Prep (Under 5,001)"
Vladigor Investments Inc,Tower Car Wash,1601 Mission St,07/17/1995,NA,07/19/1995,NA,San Francisco,CA,4400-4599,Retail Trade,D08 D14 H07 H26 H31 Pos01 Wm08,Multiple
Zayed Market Inc,Zayed Market Inc,3347 24th St,11/18/2014,NA,11/18/2014,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Horsens Llc,Royal Cuckoo Market,3368 19th St,07/25/2014,NA,07/25/2014,NA,San Francisco,CA,4400-4599 7220-7229,Multiple,H07 H24 H73 Pos01,Multiple
Arnovick Brandon D,Mission Minis,3168 22nd St,10/03/1996,NA,01/18/2012,NA,San Francisco,CA,7220-7229,Food Services,H88,Retail Bakeries With Food Prep
Alaraz Corp,Casa Lucas Mkt,2934 24th St,01/01/1992,NA,07/10/2017,NA,San Francisco,CA,4400-4599,Retail Trade,H07 Pos01 Wm18 Wm30,Multiple
Perla & Arya Corporation,Valmar Super Market,16 Valencia St,04/03/2015,NA,04/03/2015,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Bouri Tamara K,New Hampshire Market,2701 20th St,08/22/2014,NA,08/22/2014,NA,San Francisco,CA,4400-4599,Retail Trade,H07 H31 H73 Pos01,Multiple
Ghaleb Dhekra,N&v Liquor And Grocery,2702 24th St,04/01/2015,NA,04/01/2015,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Lopez-Iriarte Oscar,Deli 23,2449 23rd St,05/01/2014,NA,05/01/2014,NA,San Francisco,CA,7220-7229,Food Services,H07 H31,Multiple
Hernandez Ricardo/hernandez Jose/hernandez Guadalupe,El Chico Produce Market #4,2965 24th St,05/15/1996,NA,07/01/2001,NA,San Francisco,CA,4400-4599,Retail Trade,H09 Pos01 Wm18 Wm30,Multiple
Touchstone Climbing Inc,Mission Cliffs,2295 Harrison St,06/21/1995,NA,05/01/1998,NA,Larkspur,CA,7100-7199,"Arts, Entertainment, and Recreation",D04 H03,Multiple
Rantisi Group Inc,Golden Market,2899 Mission St,07/15/2015,NA,07/15/2015,NA,San Bruno,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Ymb Alpha Retail Llc,Mission Foodhall,3100 16th St,06/05/2015,NA,10/01/2015,NA,San Francisco,CA,4400-4599,Retail Trade,H07,Retail Food Market W/food Prep. Lt 5001 Sqft
Muela Carlos,Soma Streat Food Park,428 11th St,06/30/2015,NA,06/30/2015,NA,San Francisco,CA,7220-7229,Food Services,D04 H05 P54,Multiple
Gus's Community Market Llc,Gus's Community Market Llc,2111 Harrison St,07/19/2015,NA,07/19/2015,NA,San Francisco,CA,4400-4599,Retail Trade,H73 H81 Pos01 Wm18 Wm30,Multiple
Fresh Meat Market Inc,Fresh Meat Seafood Market,2704 Mission St,01/01/2016,NA,01/06/2016,NA,San Francisco,CA,7220-7229,Food Services,H07 Wm18,Multiple
Jasmine Market Inc,Jasmine Market,2397 Mission St,02/08/2016,NA,02/08/2016,NA,Vallejo,CA,NA,NA,H03 H31 H73,Multiple
Abundis Edgar,Nieves Cinco De Mayo Produce,3052 16th St,07/01/2015,NA,07/01/2015,NA,San Francisco,CA,7220-7229,Food Services,H07,Retail Food Market W/food Prep. Lt 5001 Sqft
Healthy Spirits Inc,Healthy Spirits Valencia,300 Valencia St,10/30/2015,NA,01/31/2017,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H73 Pos01,Multiple
Health Squad,Fresh Start #1,2631 23rd St,11/20/2015,NA,05/01/2016,NA,San Bruno,CA,4400-4599,Retail Trade,H03 Pos01,Multiple
Valencia Wholefoods Inc,Valencia Wholefoods Inc,999 Valencia St,12/14/2016,12/31/2020,12/14/2016,12/31/2020,NA,NA,4400-4599,Retail Trade,H07 Pos01 Wm30,Multiple
